year,value,source,state-name,fuel-name
2017.0,35.554522,Filtered Data (2017-2020),,
2017.0,1.432644,Filtered Data (2017-2020),,
2017.0,1.738412,Filtered Data (2017-2020),,
2017.0,0.862858,Filtered Data (2017-2020),,
2017.0,1.246454,Filtered Data (2017-2020),,
2017.0,2.109312,Filtered Data (2017-2020),,
2017.0,32.518067,Filtered Data (2017-2020),,
2017.0,1.159311,Filtered Data (2017-2020),,
2017.0,33.677378,Filtered Data (2017-2020),,
2017.0,30.224242,Filtered Data (2017-2020),,
2017.0,0.024009,Filtered Data (2017-2020),,
2017.0,20.740032,Filtered Data (2017-2020),,
2017.0,50.988284,Filtered Data (2017-2020),,
2017.0,5.864616,Filtered Data (2017-2020),,
2017.0,3.240472,Filtered Data (2017-2020),,
2017.0,10.976081,Filtered Data (2017-2020),,
2017.0,20.08117,Filtered Data (2017-2020),,
2017.0,108.594556,Filtered Data (2017-2020),,
2017.0,36.088859,Filtered Data (2017-2020),,
2017.0,36.951175,Filtered Data (2017-2020),,
2017.0,0.305768,Filtered Data (2017-2020),,
2017.0,17.566671,Filtered Data (2017-2020),,
2017.0,1.0582,Filtered Data (2017-2020),,
2017.0,1.66098,Filtered Data (2017-2020),,
2017.0,0.683419,Filtered Data (2017-2020),,
2017.0,0.566578,Filtered Data (2017-2020),,
2017.0,0.812433,Filtered Data (2017-2020),,
2017.0,2.062429,Filtered Data (2017-2020),,
2017.0,11.215463,Filtered Data (2017-2020),,
2017.0,0.018466,Filtered Data (2017-2020),,
2017.0,11.233929,Filtered Data (2017-2020),,
2017.0,0.881104,Filtered Data (2017-2020),,
2017.0,0.375556,Filtered Data (2017-2020),,
2017.0,1.533967,Filtered Data (2017-2020),,
2017.0,2.790627,Filtered Data (2017-2020),,
2017.0,0.00172,Filtered Data (2017-2020),,
2017.0,1.837805,Filtered Data (2017-2020),,
2017.0,14.143605,Filtered Data (2017-2020),,
2017.0,15.98313,Filtered Data (2017-2020),,
2017.0,33.731095,Filtered Data (2017-2020),,
2017.0,1.566243,Filtered Data (2017-2020),,
2017.0,14.598181,Filtered Data (2017-2020),,
