PULocationID,Fecha,trip_distance,fare_amount,Es_verde,cantidad_viajes
1,2023-11-01,2107.32,14541.87,1,753
1,2023-11-02,1945.96,12269.71,1,643
1,2023-11-03,16230.62,13664.47,1,653
1,2023-11-04,1895.65,12029.95,1,525
1,2023-11-05,1847.73,11458.92,1,535
1,2023-11-06,29233.96,10665.37,1,551
1,2023-11-07,1639.5,10737.71,1,530
1,2023-11-08,48481.65,11938.87,1,596
1,2023-11-09,12342.59,12340.99,1,622
1,2023-11-10,2113.17,13629.79,1,659
1,2023-11-11,2094.11,13727.7,1,589
1,2023-11-12,1806.85,11687.17,1,476
1,2023-11-13,1483.23,9731.13,1,462
1,2023-11-14,1734.09,12303.43,1,604
1,2023-11-15,14618.310000000001,11125.45,1,577
1,2023-11-16,63134.549999999996,12015.55,1,615
1,2023-11-17,1971.89,12850.55,1,668
1,2023-11-18,18828.690000000002,14012.73,1,667
1,2023-11-19,1723.41,11173.73,1,514
1,2023-11-20,27391.480000000003,11390.08,1,613
1,2023-11-21,22131.940000000002,13358.22,1,717
1,2023-11-22,2144.63,13994.89,1,680
1,2023-11-23,21734.42,8014.98,1,403
1,2023-11-24,1168.22,7707.3,1,421
1,2023-11-25,1438.86,8539.5,1,432
1,2023-11-26,1184.8,7912.5,1,393
1,2023-11-27,1528.01,10040.6,1,484
1,2023-11-28,1593.51,10744.91,1,548
1,2023-11-29,10972.520000000002,15982.470000000001,1,615
1,2023-11-30,8379.35,12268.33,1,592
2,2023-11-01,126.15,891.8100000000001,1,37
2,2023-11-02,28504.85,1136.35,1,36
2,2023-11-03,148.4,949.22,1,43
2,2023-11-04,18296.3,456.52000000000004,1,23
2,2023-11-05,52.18,393.15,1,24
2,2023-11-06,128.96,826.25,1,33
2,2023-11-07,102.28,896.55,1,30
2,2023-11-08,161.87,1118.1,1,43
2,2023-11-09,91.14,827.74,1,38
2,2023-11-10,123.46,1159.03,1,43
2,2023-11-11,136.94,979.0,1,43
2,2023-11-12,72.1,503.47,1,26
2,2023-11-13,8086.94,722.83,1,33
2,2023-11-14,128.09,902.07,1,31
2,2023-11-15,23099.89,842.84,1,37
2,2023-11-16,126.93,749.34,1,27
2,2023-11-17,135.7,702.15,1,26
2,2023-11-18,182.33,999.06,1,41
2,2023-11-19,88.14,416.18,1,22
2,2023-11-20,164.48,910.46,1,30
2,2023-11-21,207.09,1410.8600000000001,1,55
2,2023-11-22,191.5,972.63,1,41
2,2023-11-23,100.56,774.73,1,38
2,2023-11-24,136.65,822.52,1,35
2,2023-11-25,62.16,390.93,1,17
2,2023-11-26,120.34,687.36,1,34
2,2023-11-27,124.79,758.69,1,30
2,2023-11-28,24217.41,1196.1100000000001,1,46
2,2023-11-29,17710.83,1046.9,1,50
2,2023-11-30,166.29,1260.06,1,47
3,2023-11-01,24688.859999999997,25022.66,1,1554
3,2023-11-02,16429.49,23746.38,1,1416
3,2023-11-03,3376.04,21088.05,1,1344
3,2023-11-04,2375.56,14760.95,1,936
3,2023-11-05,2059.18,12799.9,1,797
3,2023-11-06,35418.329999999994,21850.16,1,1320
3,2023-11-07,3024.56,18909.72,1,1267
3,2023-11-08,3526.52,23376.96,1,1449
3,2023-11-09,3484.39,23091.64,1,1438
3,2023-11-10,3350.37,20818.04,1,1313
3,2023-11-11,2713.07,16066.19,1,1040
3,2023-11-12,2259.8,13460.92,1,874
3,2023-11-13,153774.63999999998,20969.71,1,1366
3,2023-11-14,3554.71,22974.99,1,1419
3,2023-11-15,3593.8,24008.61,1,1489
3,2023-11-16,3607.3,22706.31,1,1418
3,2023-11-17,29307.100000000002,21499.72,1,1349
3,2023-11-18,2532.11,15011.88,1,965
3,2023-11-19,2346.26,13818.88,1,931
3,2023-11-20,18408.68,22576.75,1,1312
3,2023-11-21,23602.25,24420.27,1,1494
3,2023-11-22,3224.2,19952.66,1,1194
3,2023-11-23,2341.48,13404.83,1,889
3,2023-11-24,2115.89,12545.61,1,874
3,2023-11-25,2223.08,13084.92,1,887
3,2023-11-26,2369.63,13785.71,1,962
3,2023-11-27,3211.48,20115.51,1,1319
3,2023-11-28,3402.23,21911.19,1,1390
3,2023-11-29,3713.18,23486.8,1,1482
3,2023-11-30,3786.77,24173.15,1,1470
4,2023-11-01,4.82,25.4,1,1
4,2023-11-02,5.76,29.8,1,2
4,2023-11-03,2.66,25.7,1,2
4,2023-11-07,3.78,18.4,1,1
4,2023-11-10,1.36,8.6,1,1
4,2023-11-12,29.1,84.12,1,1
4,2023-11-13,10.61,41.0,1,1
4,2023-11-16,0.4,0.0,1,2
5,2023-11-01,68178.63,7455.44,1,307
5,2023-11-02,1221.55,7769.04,1,318
5,2023-11-03,40604.880000000005,7677.06,1,306
5,2023-11-04,1368.63,9342.01,1,354
5,2023-11-05,1283.12,8270.62,1,294
5,2023-11-06,8420.8,6890.45,1,282
5,2023-11-07,886.28,5743.5,1,238
5,2023-11-08,18384.379999999997,6811.87,1,275
5,2023-11-09,1061.52,7581.64,1,305
5,2023-11-10,996.08,6855.43,1,296
5,2023-11-11,1378.77,9272.59,1,391
5,2023-11-12,1294.05,8171.79,1,355
5,2023-11-13,1067.17,7301.1,1,254
5,2023-11-14,1007.22,7414.08,1,284
5,2023-11-15,8455.77,7039.2,1,294
5,2023-11-16,28977.719999999998,7532.21,1,293
5,2023-11-17,24216.15,6837.19,1,286
5,2023-11-18,41725.25,9039.28,1,383
5,2023-11-19,1606.21,9559.92,1,357
5,2023-11-20,11741.039999999999,6219.56,1,249
5,2023-11-21,18074.78,7443.43,1,286
5,2023-11-22,32457.23,7298.0,1,287
5,2023-11-23,722.66,4262.98,1,159
5,2023-11-24,678.46,4111.17,1,192
5,2023-11-25,873.05,5969.13,1,252
5,2023-11-26,1220.03,8026.28,1,257
5,2023-11-27,1207.13,7659.17,1,262
5,2023-11-28,981.18,6911.31,1,286
5,2023-11-29,1106.91,7754.49,1,294
5,2023-11-30,42015.42,7396.26,1,295
