PULocationID,Fecha,trip_distance,fare_amount,Es_verde,cantidad_viajes
1,2019-03-01,201506.84,647582.06,0,17633
1,2019-03-02,144708.11,443462.91,0,12925
1,2019-03-03,186430.11,574648.32,0,16343
1,2019-03-04,221081.53,683790.83,0,19071
1,2019-03-05,200538.81,636931.56,0,17759
1,2019-03-06,200764.11,635561.49,0,17714
1,2019-03-07,197632.73,639319.68,0,17962
1,2019-03-08,191774.2,792438.25,0,17367
1,2019-03-09,149327.66,468641.18,0,13528
1,2019-03-10,198899.3,613460.6,0,17575
1,2019-03-11,218172.51,700153.52,0,19327
1,2019-03-12,188646.48,600918.63,0,17076
1,2019-03-13,195224.04,620071.49,0,17441
1,2019-03-14,193949.5,621074.35,0,17440
1,2019-03-15,188940.82,610659.99,0,17020
1,2019-03-16,172752.89,538457.34,0,15838
1,2019-03-17,206736.45,642540.47,0,18526
1,2019-03-18,215403.65,682046.63,0,18909
1,2019-03-19,193536.4,609299.22,0,17449
1,2019-03-20,203948.28,644614.74,0,18147
1,2019-03-21,192178.57,621743.32,0,17158
1,2019-03-22,192609.14,617010.47,0,17379
1,2019-03-23,166253.91,511671.52,0,15035
1,2019-03-24,214919.01,665330.18,0,18740
1,2019-03-25,228880.14,713980.74,0,19793
1,2019-03-26,199367.68,624313.29,0,17661
1,2019-03-27,202497.37,633272.13,0,17751
1,2019-03-28,201200.83,642638.73,0,17712
1,2019-03-29,191733.98,614072.59,0,16879
1,2019-03-30,160617.62,499928.55,0,14470
1,2019-03-31,213541.78,657935.32,0,18607
2,2019-03-01,7254.61,27232.36,0,1044
2,2019-03-02,4133.28,14805.75,0,643
2,2019-03-03,4942.1,17902.5,0,721
2,2019-03-04,3741.64,12242.51,0,517
2,2019-03-05,5434.04,19649.5,0,754
2,2019-03-06,4497.99,15641.41,0,667
2,2019-03-07,4785.29,17432.37,0,665
2,2019-03-08,5175.02,18305.32,0,744
2,2019-03-09,3269.8,11473.51,0,546
2,2019-03-10,3283.09,11063.94,0,504
2,2019-03-11,3843.72,13853.7,0,514
2,2019-03-12,4217.12,15925.47,0,563
2,2019-03-13,4983.24,18315.64,0,627
2,2019-03-14,5454.38,20366.98,0,716
2,2019-03-15,4999.39,18636.0,0,676
2,2019-03-16,3466.82,12803.72,0,547
2,2019-03-17,4169.55,15120.93,0,605
2,2019-03-18,4190.26,15146.77,0,557
2,2019-03-19,4800.94,17880.75,0,648
2,2019-03-20,5123.09,18790.11,0,654
2,2019-03-21,5791.54,20879.88,0,691
2,2019-03-22,5626.03,20371.31,0,704
2,2019-03-23,3918.2599999999998,13746.68,0,537
2,2019-03-24,4142.23,14710.3,0,571
2,2019-03-25,5141.61,20257.54,0,671
2,2019-03-26,5774.03,20632.29,0,705
