date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,rain_sum,snowfall_sum,wind_speed_10m_max
2017-01-01,7.2225,-0.7275,4.268333,0.1,0.0,23.113008
2017-01-02,3.9724998,-1.0775,1.7329167,5.8000007,0.0,20.620804
2017-01-03,6.0225,3.3725,4.5412498,7.0,0.0,28.257132
2017-01-04,9.5225,1.5725,5.8079166,0.8,0.0,32.431984
2017-01-05,0.6225,-4.1775002,-1.5233334,0.0,0.0,26.795223
2017-01-06,0.5725,-4.0775,-1.60875,0.0,1.2600001,15.379206
2017-01-07,-4.5275,-6.6275,-5.400417,0.0,5.0400004,24.36325
2017-01-08,-5.5275,-11.5275,-8.804584,0.0,0.07,25.759504
2017-01-09,-6.9775,-16.2275,-10.729583,0.0,0.0,14.587776
2017-01-10,3.2725,-12.9775,-4.175416,0.4,0.0,21.38897
2017-01-11,10.1725,3.2725,5.8620834,4.7999997,0.0,30.563978
2017-01-12,15.822499,6.1725,11.7725,7.6,0.0,29.68636
2017-01-13,14.8225,-0.2275,6.4475,0.0,0.0,27.579382
2017-01-14,-0.1275,-4.0275,-1.4670835,0.1,0.63,13.783817
2017-01-15,4.0725,-3.0275,-0.32124996,0.0,0.0,14.386494
2017-01-16,4.8225,-4.9775,-0.6420832,0.0,0.0,12.979984
2017-01-17,4.8225,1.3725001,3.0829172,5.7,0.0,14.291592
2017-01-18,4.1725,2.8725,3.5975006,0.5,0.0,15.778516
2017-01-19,9.7225,1.7225001,4.620417,0.0,0.0,14.05845
2017-01-20,6.4725,0.3225,3.7641666,3.1,0.0,10.495713
2017-01-21,11.4725,4.3725,6.505833,0.1,0.0,12.984975
2017-01-22,8.6725,4.8225,6.5870833,0.3,0.0,27.86921
2017-01-23,5.7725,1.5725,3.4516675,14.2,0.0,40.826286
2017-01-24,3.5225,1.4725001,2.4683335,34.100002,0.0,42.91254
2017-01-25,10.5725,0.3725,4.607917,0.7,0.0,28.394392
2017-01-26,10.2725,4.2225,6.443333,1.6,0.0,30.248568
2017-01-27,6.3225,1.3725001,3.9120836,0.1,0.0,30.500309
2017-01-28,3.9225001,-1.5274999,1.3266667,0.0,0.0,28.835976
2017-01-29,6.1725,-0.8775,1.7558331,0.0,0.0,24.29133
2017-01-30,2.8225,-3.2775,-0.4837501,0.0,0.0,24.014996
2017-01-31,0.5725,-5.1775,-2.412917,0.0,0.84,18.792551
2017-02-01,8.2225,-2.8775,3.3204172,0.0,0.0,28.623962
2017-02-02,6.2225,-2.5275,1.3829165,0.0,0.0,27.155552
2017-02-03,1.2225001,-5.7775,-1.9795834,0.0,0.0,18.440998
2017-02-04,1.0725,-6.1775,-2.9670837,0.0,0.0,24.951921
2017-02-05,6.5225,-2.8274999,1.1870832,0.1,0.0,20.456745
2017-02-06,8.0725,-1.6274999,2.8141668,0.0,0.0,16.179985
2017-02-07,4.6725,0.12249999,2.7537498,4.2,0.0,17.49615
2017-02-08,15.1225,3.2725,9.449584,0.7,0.0,22.039528
2017-02-09,4.1725,-8.0775,-2.7066667,0.20000002,16.309998,36.551968
2017-02-10,-2.2775,-10.4775,-6.2066665,0.0,0.14,22.725668
2017-02-11,4.7725,-3.0774999,0.45583332,0.0,0.56,12.24
2017-02-12,2.2225,-1.5274999,-0.023333274,8.700001,1.33,19.66536
2017-02-13,2.2725,-2.2275,0.5829167,0.0,0.0,36.918873
2017-02-14,3.5725,-4.9275,-1.0337502,0.0,0.0,22.366402
2017-02-15,7.4225,-2.1775,1.6225001,0.5,0.0,25.338476
2017-02-16,1.8725,-3.1775,-0.67333335,0.0,0.0,34.01762
2017-02-17,5.2725,-3.9775,-0.22125004,0.0,0.0,22.59699
2017-02-18,15.2725,-3.0774999,5.4975,0.0,0.0,21.028437
2017-02-19,18.5225,6.4725,11.307916,0.0,0.0,18.39878
2017-02-20,10.8225,2.6225,6.6704164,0.0,0.0,22.26477
2017-02-21,6.4225,-2.3274999,2.46,0.0,0.0,19.803272
2017-02-22,12.5225,2.3725,6.599584,0.2,0.0,13.32
2017-02-23,17.822498,3.2225,9.0225,0.0,0.0,19.969458
2017-02-24,19.322498,9.7225,13.5225,0.9,0.0,24.482647
2017-02-25,13.9225,8.3725,11.618332,9.5,0.0,27.66384
2017-02-26,7.0225,0.6225,3.8454163,0.0,0.0,28.03612
2017-02-27,11.7225,-0.9775,4.59125,0.0,0.0,22.183128
2017-02-28,14.5725,2.6225,7.924584,0.70000005,0.0,16.92383
2017-03-01,21.7225,9.4725,14.626668,4.5,0.0,42.438793
2017-03-02,15.8725,2.1725001,8.112084,0.0,0.0,43.32731
2017-03-03,3.7225,-3.7275,0.23708332,0.3,0.0,27.595825
2017-03-04,-0.6275,-7.9775,-4.4129167,0.0,0.0,38.988182
2017-03-05,2.4725,-9.8775,-5.0379167,0.0,0.0,25.772078
2017-03-06,3.9724998,-5.8275,-0.6212502,0.0,0.0,17.076298
2017-03-07,11.6225,3.0225,7.2308335,6.7,0.0,22.238562
2017-03-08,14.5725,7.2225,11.174583,0.8,0.0,29.308508
2017-03-09,13.8725,8.0225,10.818333,0.0,0.0,32.023815
2017-03-10,7.2225,-3.4775,1.9683334,0.19999996,5.7400002,28.90107
2017-03-11,-0.7275,-8.2775,-5.0025,0.0,0.0,34.322937
