LocationID,Zone,Borough_ID
2,Jamaica Bay,1
3,Allerton/Pelham Gardens,2
4,Alphabet City,3
5,Arden Heights,4
6,Arrochar/Fort Wadsworth,4
7,Astoria,1
8,Astoria Park,1
9,Auburndale,1
10,Baisley Park,1
11,Bath Beach,5
12,Battery Park,3
13,Battery Park City,3
14,Bay Ridge,5
15,Bay Terrace/Fort Totten,1
16,Bayside,1
17,Bedford,5
18,Bedford Park,2
19,Bellerose,1
20,Belmont,2
21,Bensonhurst East,5
22,Bensonhurst West,5
23,Bloomfield/Emerson Hill,4
24,Bloomingdale,3
25,Boerum Hill,5
26,Borough Park,5
27,Breezy Point/Fort Tilden/Riis Beach,1
28,Briarwood/Jamaica Hills,1
29,Brighton Beach,5
30,Broad Channel,1
31,Bronx Park,2
32,Bronxdale,2
33,Brooklyn Heights,5
34,Brooklyn Navy Yard,5
35,Brownsville,5
36,Bushwick North,5
37,Bushwick South,5
38,Cambria Heights,1
39,Canarsie,5
40,Carroll Gardens,5
41,Central Harlem,3
42,Central Harlem North,3
43,Central Park,3
44,Charleston/Tottenville,4
45,Chinatown,3
46,City Island,2
47,Claremont/Bathgate,2
48,Clinton East,3
49,Clinton Hill,5
50,Clinton West,3
51,Co-Op City,2
52,Cobble Hill,5
53,College Point,1
54,Columbia Street,5
55,Coney Island,5
56,Corona,1
57,Corona,1
58,Country Club,2
59,Crotona Park,2
60,Crotona Park East,2
61,Crown Heights North,5
62,Crown Heights South,5
63,Cypress Hills,5
64,Douglaston,1
65,Downtown Brooklyn/MetroTech,5
66,DUMBO/Vinegar Hill,5
67,Dyker Heights,5
68,East Chelsea,3
69,East Concourse/Concourse Village,2
70,East Elmhurst,1
71,East Flatbush/Farragut,5
72,East Flatbush/Remsen Village,5
73,East Flushing,1
74,East Harlem North,3
75,East Harlem South,3
76,East New York,5
77,East New York/Pennsylvania Avenue,5
78,East Tremont,2
79,East Village,3
80,East Williamsburg,5
81,Eastchester,2
82,Elmhurst,1
83,Elmhurst/Maspeth,1
84,Eltingville/Annadale/Prince's Bay,4
85,Erasmus,5
86,Far Rockaway,1
87,Financial District North,3
88,Financial District South,3
89,Flatbush/Ditmas Park,5
90,Flatiron,3
91,Flatlands,5
92,Flushing,1
93,Flushing Meadows-Corona Park,1
94,Fordham South,2
95,Forest Hills,1
96,Forest Park/Highland Park,1
97,Fort Greene,5
98,Fresh Meadows,1
99,Freshkills Park,4
100,Garment District,3
101,Glen Oaks,1
102,Glendale,1
103,Governor's Island/Ellis Island/Liberty Island,3
104,Governor's Island/Ellis Island/Liberty Island,3
105,Governor's Island/Ellis Island/Liberty Island,3
106,Gowanus,5
107,Gramercy,3
108,Gravesend,5
109,Great Kills,4
110,Great Kills Park,4
111,Green-Wood Cemetery,5
112,Greenpoint,5
113,Greenwich Village North,3
114,Greenwich Village South,3
115,Grymes Hill/Clifton,4
116,Hamilton Heights,3
117,Hammels/Arverne,1
118,Heartland Village/Todt Hill,4
119,Highbridge,2
120,Highbridge Park,3
121,Hillcrest/Pomonok,1
122,Hollis,1
123,Homecrest,5
124,Howard Beach,1
125,Hudson Sq,3
126,Hunts Point,2
127,Inwood,3
128,Inwood Hill Park,3
129,Jackson Heights,1
130,Jamaica,1
131,Jamaica Estates,1
132,JFK Airport,1
133,Kensington,5
134,Kew Gardens,1
135,Kew Gardens Hills,1
136,Kingsbridge Heights,2
137,Kips Bay,3
138,LaGuardia Airport,1
139,Laurelton,1
140,Lenox Hill East,3
141,Lenox Hill West,3
142,Lincoln Square East,3
143,Lincoln Square West,3
144,Little Italy/NoLiTa,3
145,Long Island City/Hunters Point,1
146,Long Island City/Queens Plaza,1
147,Longwood,2
148,Lower East Side,3
149,Madison,5
150,Manhattan Beach,5
151,Manhattan Valley,3
152,Manhattanville,3
153,Marble Hill,3
154,Marine Park/Floyd Bennett Field,5
155,Marine Park/Mill Basin,5
156,Mariners Harbor,4
157,Maspeth,1
158,Meatpacking/West Village West,3
159,Melrose South,2
160,Middle Village,1
161,Midtown Center,3
162,Midtown East,3
163,Midtown North,3
164,Midtown South,3
165,Midwood,5
166,Morningside Heights,3
167,Morrisania/Melrose,2
168,Mott Haven/Port Morris,2
169,Mount Hope,2
170,Murray Hill,3
171,Murray Hill-Queens,1
172,New Dorp/Midland Beach,4
173,North Corona,1
174,Norwood,2
175,Oakland Gardens,1
176,Oakwood,4
177,Ocean Hill,5
178,Ocean Parkway South,5
179,Old Astoria,1
180,Ozone Park,1
181,Park Slope,5
