Id_Marca,Marca
1,ACURA
2,AIWAYS
3,ALFA ROMEO
4,AM GENERAL
5,AMERICAN MOTORS CORPORATION
6,ASC INCORPORATED
7,ASTON MARTIN
8,AUDI
9,AURORA CARS LTD
10,AUTOCAR
11,AUTOKRAFT LIMITED
12,AVANTI MOTOR CORPORATION
13,AZURE DYNAMICS
14,BATTLE MOTORS
15,BENTLEY
16,BENTLEY MOTORS
17,BERTONE
18,BILL DOVELL MOTOR CAR COMPANY
19,BITTER GMBH AND CO. KG
20,BLUE BIRD
21,BMW
22,BMW ALPINA
23,BUGATTI
24,BUICK
25,BYD
26,BYTON
27,CADILLAC
28,CCC ENGINEERING
29,CHEVROLET
30,CHRYSLER
31,CITROEN
32,COBUS INDUSTRIES
33,CODA AUTOMOTIVE
34,COLLINS BUS CORP.
35,CONSULIER INDUSTRIES INC
36,CUPRA
37,CX AUTOMOTIVE
38,DABRYAN COACH BUILDERS INC
39,DACIA
40,DAEWOO
41,DAIHATSU
42,DODGE
43,DS
44,E. P. DUTTON
45,EAGLE
46,ELGIN
47,ENC
48,ENVIRONMENTAL RSCH AND DEVP CORP
49,EVANS AUTOMOBILES
50,EXCALIBUR AUTOS
51,FEDERAL COACH
52,FERRARI
53,FIAT
54,FISKER
55,FORD
56,FREIGHTLINER
57,FREIGHTLINER CUSTOM CHASSIS
58,FUSO
59,GENERAL MOTORS
60,GENESIS
61,GEO
62,GILLIG
63,GLOBAL
64,GM BRIGHTDROP
65,GMC
66,GOLDACRE
67,GREENKRAFT
68,GREENPOWER MOTOR COMPANY
69,GRUMMAN ALLIED INDUSTRIES
70,GRUMMAN OLSON
71,HEIL ENVIRONMENTAL
72,HINO
73,HOMETOWN MANUFACTURING
74,HONDA
75,HUMMER
76,HYUNDAI
77,IC BUS
78,IMPORT FOREIGN AUTO SALES INC
79,IMPORT TRADE SERVICES
80,INFINITI
81,INTERNATIONAL
82,ISIS IMPORTS LTD
83,ISUZU
84,J.K. MOTORS
85,JAGUAR
86,JBA MOTORCARS
87,JEEP
88,KALMAR
89,KANDI
90,KARMA
91,KENWORTH
92,KENYON CORPORATION OF AMERICA
93,KIA
94,KOENIGSEGG
95,LAFORZA AUTOMOBILE INC
96,LAMBDA CONTROL SYSTEMS
97,LAMBORGHINI
98,LAND ROVER
99,LEXUS
100,LIGHTYEAR
101,LINCOLN
102,LION ELECTRIC
103,LONDON COACH CO INC
104,LONDON TAXI
105,LORDSTOWN
106,LOTUS
107,LUCID
108,"LUCID USA, INC."
109,MACK
110,MAHINDRA
111,MASERATI
112,MAYBACH
113,MAZDA
114,MCEVOY MOTORS
115,MCI
116,MCLAREN AUTOMOTIVE
117,MCNEILUS
118,MERCEDES
119,MERCEDES-BENZ
120,MERCURY
121,MERKUR
122,MG
123,MINI
124,MITSUBISHI
125,MOBILITY VENTURES LLC
126,MORGAN
127,MORGAN-OLSON
128,NEW FLYER
129,NISSAN
130,NITEHAWK
131,NOVA BUS
132,OLDSMOBILE
133,OPEL
134,OPTIMAL-EV
135,ORANGE EV
136,PAGANI
137,PANOS
138,PANOZ AUTO-DEVELOPMENT
139,PANTHER CAR COMPANY LIMITED
140,PAS
141,PAS INC - GMC
142,PETERBILT
143,PEUGEOT
144,PININFARINA
145,PLYMOUTH
146,POLESTAR
147,POLESTAR AUTOMOTIVE USA
148,PONTIAC
149,PORSCHE
150,PROTERRA
151,QUANTUM TECHNOLOGIES
152,QVALE
153,RAM
154,RED SHIFT LTD.
155,RENAULT
156,RIVIAN
157,ROLLS-ROYCE
158,ROUSH PERFORMANCE
159,RUF AUTOMOBILE
160,RUF AUTOMOBILE GMBH
161,S AND S COACH COMPANY  E.P. DUTTON
162,SAAB
163,SALEEN
164,SALEEN PERFORMANCE
165,SATURN
166,SCHWARZE INDUSTRIES
167,SCION
168,SEAT
169,SHELBY
170,SKODA
171,SMART
172,SONO
173,SPYKER
174,SRT
175,STARCRAFT
176,STERLING
177,STI
178,SUBARU
179,SUPERIOR COACHES DIV E.P. DUTTON
180,SUZUKI
181,TECSTAR
182,TESLA
183,TEXAS COACH COMPANY
184,THOMAS BUILT
185,TICO
186,TOYOTA
187,TURTLE TOP
188,TVR ENGINEERING LTD
189,TYMCO
190,UTILIMASTER
191,VAN HOOL
192,VECTOR
193,VIXEN MOTOR COMPANY
194,VOLGA ASSOCIATED AUTOMOBILE
195,VOLKSWAGEN
196,VOLVO
197,VPG
198,WALLACE ENVIRONMENTAL
199,WORKHORSE
200,YUGO
