Id_Marca,Id_Modelo,Modelo
190,1,(various models)
127,2,(various models)
162,3,09-Mar
162,4,09-May
146,5,1
186,6,1-Ton Truck 2WD
8,7,100
8,8,100 Wagon
8,9,100 quattro
8,10,100 quattro Wagon
148,11,1000
56,12,114SD NG - Class 8
53,13,124 Spider
21,14,128ci Convertible
21,15,128i
21,16,128i Convertible
21,17,135i
21,18,135i Convertible
153,19,1500 2WD
153,20,1500 4WD
153,21,1500 4X2
153,22,1500 4X4
153,23,1500 Classic 2WD
153,24,1500 Classic 4WD
153,25,1500 HFE 2WD
153,26,1500 HFE 4X2
153,27,1500 TRX 4WD
3,28,164
155,29,18i
155,30,18i 4DR Wagon
155,31,18i Sportwagon
119,32,190
119,33,190 D 2.2/190 E 2.3
119,34,190D 2.5
119,35,190D 2.5 Turbo
119,36,190E
119,37,190E 2.3
84,38,190E 2.3 MERC BENZ
119,39,190E 2.3-16
119,40,190E 2.6
78,41,1fas 410
146,42,2
113,43,2
146,44,2
146,45,2 BST edition
146,46,2 Dual Motor
146,47,2 Dual Motor Perf Pack
146,48,2 Single Motor
1,49,2.2CL/3.0CL
1,50,2.3CL/3.0CL
1,51,2.5TL
1,52,2.5TL/3.2TL
8,53,200
30,54,200
30,55,200 AWD
30,56,200 Convertible
8,57,200 quattro
8,58,200 quattro 20v
8,59,200 quattro 20v Wagon
8,60,200 quattro Wagon
148,61,2000 Sunbird
148,62,2000 Sunbird Convertible
148,63,2000 Sunbird Wagon
119,64,200E
129,65,200SX
148,66,20th Anniversary Trans Am
193,67,21 TD
142,68,220EV - Class 6
142,69,220EV - Class 7
111,70,222E
111,71,225
111,72,228
21,73,228i
21,74,228i Convertible
21,75,228i Gran Coupe
21,76,228i xDrive
21,77,228i xDrive Convertible
21,78,228i xDrive Gran Coupe
119,79,230CE
119,80,230E
84,81,230E MERC BENZ
119,82,230TE
21,83,230i Convertible
21,84,230i Coupe
21,85,230i xDrive Convertible
21,86,230i xDrive Coupe
196,87,240
196,88,240 DL/240 GL
114,89,240 DL/240 GL Sedan
196,90,240 DL/240 GL Wagon
114,91,240 DL/240 GL Wagon
196,92,240 DL/GL/Turbo
196,93,240 DL/GL/Turbo Wagon
196,94,240 DL/GL/turbo
196,95,240 DL/GL/turbo Wagon
196,96,240 Wagon
129,97,240SX
51,98,24E
113,99,2500 2WD
153,100,2500/3500 HD
119,101,260E
52,102,296 GTB
113,103,3
113,104,3 4-Door
113,105,3 4-Door 2WD
113,106,3 4-Door 4WD
113,107,3 5-Door
113,108,3 5-Door 2WD
113,109,3 5-Door 4WD
43,110,3 Crossback E-Tense
113,111,3 DI 4-Door
113,112,3 DI 5-Door
178,113,3 Door 4WD Turbo
21,114,3 Series
52,115,3.2 Mondial/Cabriolet
1,116,3.2CL
1,117,3.2TL
1,118,3.5RL
30,119,300
30,120,300 AWD
30,121,300 M
30,122,300 SRT8
30,123,300/SRT-8
124,124,3000 GT
124,125,3000 GT Spyder
30,126,300C AWD
30,127,300C/SRT-8
119,128,300CE
84,129,300CE MERC BENZ
119,130,300D
119,131,300D 2.5 Turbo
119,132,300D/300CD
119,133,300E
96,134,300E
119,135,300E 2.6
119,136,300E 2.8
119,137,300E 4Matic
84,138,300E MERC BENZ
119,139,300SD
119,140,300SD/380SE
119,141,300SDL
119,142,300SE
119,143,300SEL
119,144,300SL
84,145,300SL
84,146,300SL MERC BENZ
119,147,300TD
119,148,300TE
119,149,300TE 4Matic
84,150,300TE MERC BENZ
129,151,300ZX
129,152,300ZX 2x2
52,153,308
21,154,318i
21,155,318i Convertible
21,156,318i/318iS
21,157,318i/318is
21,158,318is
21,159,318is Convertible
21,160,318ti
21,161,320i
21,162,320i xDrive
113,163,323
113,164,323 Protege 4x4
113,165,323 Wagon
113,166,323/323 Protege
21,167,323ci
21,168,323i
21,169,323i Convertible
21,170,323i Touring
21,171,323is
21,172,325ci
21,173,325ci Convertible
21,174,325i
21,175,325i Convertible
21,176,325i Sport Wagon
21,177,325i/325iS
21,178,325i/325is
21,179,325ic
21,180,325is
21,181,325ix
21,182,325xi
21,183,325xi Sport Wagon
52,184,328 GTS/GTB
21,185,328ci
21,186,328ci Convertible
21,187,328ci xDrive
21,188,328cxi
21,189,328d
21,190,328d xDrive
21,191,328d xDrive Sports Wagon
21,192,328i
21,193,328i Convertible
21,194,328i Coupe
21,195,328i Coupe xDrive
21,196,328i Sport Wagon
21,197,328i Sport Wagon xDrive
21,198,328i Sports Wagon
21,199,328i xDrive
21,200,328i xDrive Gran Turismo
21,201,328i xDrive Sport Wagon
21,202,328i xDrive Sports Wagon
21,203,328i/328is
21,204,328ic
21,205,328is
21,206,328xi
21,207,328xi Sport Wagon
21,208,330ci
21,209,330ci Convertible
21,210,330e
21,211,330e Sedan
21,212,330e xDrive
21,213,330e xDrive Sedan
21,214,330i
21,215,330i Sedan
21,216,330i xDrive
21,217,330i xDrive Gran Turismo
21,218,330i xDrive Sedan
21,219,330i xDrive Sports Wagon
21,220,330xi
21,221,335ci
21,222,335ci Convertible
21,223,335ci xDrive
21,224,335cxi
21,225,335d
21,226,335i
21,227,335i Convertible
21,228,335i Coupe
21,229,335i Coupe xDrive
21,230,335i xDrive
21,231,335i xDrive Gran Turismo
21,232,335is Convertible
21,233,335is Coupe
21,234,335xi
21,235,340i
21,236,340i xDrive
21,237,340i xDrive Gran Turismo
52,238,348 TB/TS
29,239,3500/4500 Low Cab Forward
153,240,3500/4500/5500
119,241,350SD Turbo
119,242,350SDL Turbo
129,243,350z
129,244,350z Roadster
52,245,360 Modena/Modena F1
52,246,360 Modena/Spider
52,247,360 Modena/Spider/Challenge
129,248,370Z
129,249,370Z Roadster
129,250,370z
119,251,380SE
119,252,380SL
8,253,4000
8,254,4000 CS quattro
