,Year,Manufacturer,Model,charge240,feScore,fuelCost08,fuelType1,VClass
0,2017,,0,0.0,3.0,3850.0,0,0
3,2017,,1,0.0,6.0,2400.0,0,1
10,2017,,2,0.0,3.0,3650.0,0,0
11,2017,,3,0.0,2.0,4100.0,0,0
17,2017,,4,0.0,7.0,1700.0,1,2
26,2017,,5,0.0,5.0,2700.0,0,1
28,2017,,6,0.0,6.0,2500.0,0,0
29,2016,,7,0.0,6.0,1950.0,1,2
31,2017,,8,0.0,5.0,2700.0,0,1
32,2017,,9,0.0,1.0,4650.0,0,2
42,2017,,10,0.0,3.0,3650.0,0,0
43,2017,,11,0.0,6.0,2050.0,1,2
46,2017,,12,0.0,5.0,2200.0,1,0
47,2017,,12,0.0,4.0,2550.0,1,0
48,2017,,13,0.0,5.0,2200.0,1,0
49,2017,,14,0.0,5.0,2300.0,1,0
57,2017,,15,0.0,5.0,2850.0,0,2
86,2017,,16,0.0,1.0,5050.0,0,1
91,2017,,17,0.0,7.0,2050.0,0,1
93,2017,,18,0.0,5.0,2600.0,0,2
94,2017,,19,0.0,4.0,3250.0,0,2
95,2017,,20,0.0,4.0,3450.0,0,2
103,2017,,21,0.0,6.0,2400.0,0,1
105,2017,,22,0.0,5.0,2700.0,0,0
106,2017,,23,0.0,6.0,2350.0,0,0
116,2017,,24,0.0,5.0,2600.0,0,0
117,2017,,25,0.0,6.0,2400.0,0,0
118,2017,,26,0.0,8.0,1600.0,1,0
119,2017,,27,0.0,8.0,1500.0,1,0
120,2017,,28,0.0,5.0,2850.0,0,2
121,2017,,29,0.0,5.0,2600.0,0,2
122,2017,,30,0.0,6.0,2400.0,0,2
123,2017,,31,0.0,5.0,2600.0,0,2
140,2017,,32,0.0,5.0,2600.0,0,0
141,2017,,33,0.0,5.0,2600.0,0,2
142,2017,,34,0.0,6.0,1950.0,1,2
143,2017,,35,0.0,7.0,1850.0,1,2
144,2017,,36,0.0,7.0,1850.0,1,2
150,2017,,37,0.0,6.0,2050.0,1,0
151,2017,,38,0.0,5.0,2850.0,0,2
152,2017,,33,0.0,5.0,2850.0,0,2
153,2017,,39,0.0,6.0,2350.0,0,2
164,2017,,40,0.0,7.0,1700.0,1,2
165,2017,,41,0.0,8.0,1700.0,2,2
166,2017,,42,0.0,6.0,2050.0,1,2
178,2017,,43,0.0,5.0,2600.0,0,0
179,2017,,44,0.0,4.0,3250.0,0,2
180,2017,,45,0.0,7.0,1750.0,1,2
189,2017,,46,0.0,4.0,3100.0,0,0
190,2017,,47,0.0,6.0,2400.0,0,2
204,2017,,48,2.0,8.0,2350.0,0,0
205,2017,,49,0.0,2.0,4100.0,0,0
214,2017,,50,0.0,7.0,1700.0,1,2
215,2017,,50,0.0,7.0,1850.0,1,2
216,2017,,50,0.0,7.0,1700.0,1,2
223,2017,,51,0.0,4.0,3100.0,0,2
224,2017,,52,0.0,6.0,2500.0,0,2
238,2017,,53,0.0,8.0,1600.0,2,2
240,2017,,54,0.0,5.0,2950.0,0,1
241,2017,,55,0.0,7.0,1650.0,1,0
249,2017,,56,0.0,7.0,1700.0,1,0
250,2017,,57,0.0,8.0,1500.0,1,0
252,2017,,58,0.0,8.0,1550.0,1,2
253,2017,,58,0.0,7.0,1850.0,1,2
254,2017,,59,0.0,7.0,1700.0,1,2
261,2017,,60,5.0,10.0,650.0,3,2
279,2018,,61,0.0,6.0,2400.0,0,0
282,2018,,62,0.0,5.0,2700.0,0,0
288,2018,,63,0.0,5.0,2500.0,0,0
289,2018,,2,0.0,3.0,3450.0,0,0
290,2018,,64,0.0,6.0,2400.0,0,2
291,2018,,65,0.0,6.0,2400.0,0,2
292,2018,,33,0.0,5.0,2600.0,0,2
293,2018,,66,0.0,5.0,2850.0,0,2
294,2018,,67,0.0,2.0,4100.0,0,2
296,2018,,68,0.0,3.0,3450.0,0,2
301,2018,,41,0.0,5.0,2850.0,0,2
304,2018,,69,0.0,7.0,2200.0,0,0
305,2018,,70,0.0,6.0,1850.0,1,2
323,2017,,71,0.0,7.0,2050.0,0,2
324,2018,,72,0.0,6.0,1900.0,1,0
325,2018,,73,0.0,8.0,1600.0,1,2
333,2018,,49,0.0,5.0,2300.0,1,0
334,2018,,49,0.0,2.0,4100.0,0,0
347,2018,,50,0.0,7.0,1700.0,1,2
348,2018,,50,0.0,7.0,1750.0,1,2
357,2018,,24,0.0,5.0,2600.0,0,0
358,2018,,74,0.0,6.0,1850.0,1,0
359,2018,,7,0.0,6.0,1850.0,1,2
360,2018,,15,0.0,5.0,2200.0,1,2
382,2018,,75,0.0,6.0,1950.0,1,0
399,2018,,76,0.0,5.0,2500.0,0,1
400,2018,,1,0.0,5.0,2600.0,0,1
401,2018,,77,0.0,6.0,2400.0,0,0
402,2018,,78,0.0,4.0,2950.0,0,0
403,2018,,79,0.0,4.0,2950.0,0,0
404,2018,,80,0.0,7.0,2050.0,0,0
405,2018,,81,0.0,5.0,2500.0,0,0
406,2018,,23,0.0,5.0,2500.0,0,0
408,2018,,82,0.0,5.0,2500.0,0,0
409,2018,,29,0.0,6.0,2400.0,0,2
410,2018,,38,0.0,5.0,2600.0,0,2
411,2018,,38,0.0,5.0,2850.0,0,2
412,2018,,83,0.0,8.0,1600.0,1,2
413,2018,,84,0.0,6.0,2350.0,0,2
415,2018,,85,0.0,8.0,1450.0,1,2
423,2018,,86,4.0,10.0,1250.0,1,2
425,2018,,87,0.0,5.0,2700.0,0,1
426,2018,,88,0.0,4.0,2950.0,0,1
427,2018,,89,0.0,4.0,3100.0,0,1
428,2018,,90,0.0,4.0,3100.0,0,1
430,2018,,91,0.0,5.0,2600.0,0,0
431,2018,,92,0.0,4.0,2950.0,0,0
450,2018,,93,0.0,3.0,3450.0,0,0
451,2018,,4,0.0,7.0,1650.0,1,2
452,2018,,4,0.0,7.0,1650.0,1,2
453,2018,,94,0.0,4.0,3250.0,0,2
454,2018,,95,0.0,4.0,3250.0,0,2
