Año,Id_Marca,Id_Modelo,Costo_Combustible,Co2,ID_Combustible
2017,21,3013,3850.0,519.0,1
2017,21,4998,2700.0,374.0,1
2016,80,3635,2950.0,402.0,1
2017,123,2709,2400.0,327.0,1
2017,93,4206,2550.0,433.0,2
2017,93,4207,2800.0,476.0,2
2017,55,2002,2100.0,357.0,2
1987,65,3692,3550.0,-1.0,2
2017,101,3045,2400.0,404.0,2
2016,65,4256,2950.0,489.0,2
2017,21,456,3650.0,486.0,1
2017,111,2501,4100.0,572.0,1
2017,55,2315,1950.0,328.0,2
2017,93,4379,2300.0,397.0,2
2017,93,4377,2400.0,414.0,2
2017,65,805,2300.0,386.0,2
1987,65,3692,3100.0,-1.0,3
2017,93,3901,1700.0,287.0,2
2017,149,1374,3250.0,452.0,1
2016,80,3626,2950.0,406.0,1
2016,182,3202,700.0,0.0,4
1987,65,3707,3550.0,-1.0,2
2017,178,2880,2300.0,387.0,2
2017,76,4358,1850.0,307.0,2
1987,65,3707,3550.0,-1.0,2
2017,178,2276,1900.0,315.0,2
2017,149,592,2700.0,365.0,1
1987,65,3707,3800.0,-1.0,2
2017,119,1146,2500.0,347.0,1
2016,195,1054,1950.0,329.0,2
2017,97,2581,4100.0,547.0,1
2017,186,547,2700.0,373.0,1
2017,157,3538,4650.0,638.0,1
2017,85,5092,2850.0,377.0,1
1987,65,3707,3450.0,-1.0,3
2017,29,1984,2100.0,355.0,5
2017,29,4704,3100.0,518.0,2
2017,101,3369,3300.0,546.0,2
2016,113,1277,2300.0,384.0,2
2017,60,2368,3450.0,482.0,1
2017,93,2748,2650.0,448.0,2
2017,76,4739,2050.0,342.0,2
2017,129,2433,3650.0,484.0,1
2017,196,4003,2050.0,343.0,2
2017,93,2281,1650.0,301.0,2
2017,196,5063,2950.0,395.0,1
2017,55,3306,2200.0,370.0,2
2017,55,3307,2200.0,370.0,2
2017,55,3308,2200.0,370.0,2
2017,55,3306,2550.0,428.0,2
2017,55,3307,2550.0,428.0,2
2017,55,3308,2550.0,428.0,2
2017,55,3330,2200.0,370.0,2
2017,55,3310,2300.0,386.0,2
2017,27,5168,2650.0,439.0,2
2017,1,3033,2950.0,404.0,1
2017,55,2046,2650.0,452.0,2
2017,55,2044,2800.0,475.0,5
2017,149,1384,3850.0,536.0,1
2017,119,4061,2850.0,383.0,1
2017,119,787,3450.0,468.0,1
2017,27,795,2850.0,379.0,1
1987,29,4501,2650.0,-1.0,2
2017,74,814,2100.0,350.0,2
2017,74,814,2200.0,362.0,2
2017,74,814,2050.0,334.0,2
2017,101,3058,2550.0,425.0,2
2017,21,369,2950.0,405.0,1
2017,21,372,3100.0,419.0,1
2017,111,3680,3850.0,517.0,1
2017,74,2245,1650.0,281.0,2
2017,29,4310,2650.0,447.0,2
2017,29,4329,2800.0,479.0,2
2017,29,4341,3100.0,531.0,2
2017,29,4341,2950.0,491.0,5
2017,65,4289,2950.0,492.0,5
2017,65,4289,2800.0,474.0,5
2017,29,4330,3100.0,523.0,2
2017,65,4291,3100.0,523.0,2
2017,195,4621,2950.0,412.0,1
2017,98,3829,2700.0,372.0,1
2017,98,3834,2850.0,391.0,1
2017,29,4557,2800.0,477.0,2
2017,65,5196,3100.0,512.0,2
2017,29,4561,2950.0,497.0,2
2017,29,4474,2950.0,502.0,5
2017,65,5204,3300.0,553.0,2
2017,111,2894,4100.0,548.0,1
1987,29,4784,3800.0,-1.0,2
2017,8,4025,3100.0,427.0,1
2017,52,2436,5050.0,661.0,1
2017,195,3510,1950.0,329.0,2
2017,8,687,2950.0,397.0,1
2017,87,3532,2400.0,400.0,2
2017,87,1507,2400.0,400.0,2
2017,123,1545,2050.0,281.0,1
1987,29,4784,3650.0,-1.0,3
2017,1,4521,2600.0,358.0,1
2017,21,2958,3250.0,438.0,1
2017,21,2985,3450.0,459.0,1
2017,8,3999,3100.0,423.0,1
2017,53,313,2600.0,356.0,1
2017,55,4688,2300.0,392.0,5
2017,87,1508,2200.0,378.0,2
2017,195,4622,3100.0,424.0,1
2017,21,5039,3100.0,426.0,1
2017,119,4068,2400.0,324.0,1
2017,53,310,2400.0,326.0,1
1987,29,4795,3450.0,-1.0,3
2017,8,3961,2700.0,373.0,1
2017,123,1566,2350.0,316.0,1
2017,80,3670,3450.0,457.0,1
2017,87,1426,2100.0,361.0,2
2017,87,1426,2100.0,361.0,5
2017,87,1424,2300.0,378.0,5
1987,42,1700,3300.0,-1.0,2
1987,42,1700,3300.0,-1.0,2
2017,87,2506,3550.0,533.0,6
2017,87,2510,4350.0,592.0,1
2017,29,1607,3650.0,503.0,1
2017,8,4534,2600.0,358.0,1
2017,21,86,2400.0,325.0,1
2017,29,4391,1600.0,268.0,2
2017,186,5186,1500.0,249.0,2
2017,8,3604,2850.0,387.0,1
2017,21,214,2600.0,360.0,1
2017,119,1142,2400.0,333.0,1
2017,195,2495,2600.0,347.0,1
2017,27,1256,3650.0,481.0,1
2017,27,1257,2700.0,368.0,1
2017,21,217,2500.0,335.0,1
2017,21,507,3250.0,441.0,1
2017,21,508,3450.0,459.0,1
2017,21,885,3650.0,481.0,1
2017,157,2481,4650.0,627.0,1
2017,21,219,2500.0,335.0,1
2017,29,4369,1750.0,295.0,2
2017,29,4369,1650.0,281.0,2
2017,29,4329,2800.0,475.0,5
2017,29,4706,1900.0,313.0,2
2017,29,4707,1950.0,334.0,2
2017,178,2276,2200.0,368.0,2
2017,52,304,3650.0,501.0,1
1987,42,4925,4850.0,-1.0,2
2017,80,3639,2600.0,353.0,1
2017,21,288,2600.0,358.0,1
2017,195,2438,1950.0,325.0,2
2017,195,2688,1850.0,311.0,2
2017,195,2491,1850.0,305.0,2
2017,80,3660,3250.0,445.0,1
2017,186,4545,2950.0,481.0,2
2017,186,4548,2950.0,483.0,2
1987,42,4925,4850.0,-1.0,2
1987,55,2173,4100.0,-1.0,2
1987,55,2174,4100.0,-1.0,2
2017,8,4529,2050.0,336.0,2
2017,21,235,2850.0,395.0,1
2017,21,288,2850.0,395.0,1
2017,119,1141,2350.0,319.0,1
2017,15,3294,4650.0,652.0,1
2017,21,237,2700.0,374.0,1
2017,101,1517,2800.0,467.0,2
1987,55,2173,3800.0,-1.0,2
1987,55,2174,3800.0,-1.0,2
2017,8,664,2600.0,349.0,1
2017,178,1633,1850.0,311.0,2
2017,186,3578,1000.0,171.0,2
2017,93,4384,1950.0,334.0,2
2017,186,3738,2050.0,338.0,2
2017,99,2452,4100.0,548.0,1
2017,76,4868,1700.0,288.0,2
2017,85,5086,1700.0,299.0,3
2017,93,2285,2050.0,348.0,2
2017,30,53,1950.0,323.0,5
2017,30,54,1950.0,323.0,5
1985,162,571,2950.0,-1.0,2
1987,55,2193,3800.0,-1.0,2
2017,80,3635,2950.0,398.0,1
2017,80,3626,2950.0,408.0,1
2017,80,3636,2950.0,412.0,1
2017,80,3626,2700.0,365.0,1
1987,55,2193,4100.0,-1.0,2
2017,99,1874,1350.0,223.0,2
2017,119,3987,3250.0,452.0,1
2017,186,4746,3550.0,604.0,5
2017,119,1143,2600.0,360.0,1
2017,119,3988,3250.0,443.0,1
2017,124,2846,1750.0,295.0,2
2017,124,2847,1750.0,295.0,2
2017,129,895,1750.0,297.0,2
1987,65,4505,2550.0,-1.0,2
2017,129,888,2050.0,347.0,2
2017,74,2547,1850.0,314.0,2
2017,129,3520,2300.0,395.0,2
2017,99,3791,2200.0,297.0,1
2017,93,4388,650.0,0.0,4
2017,21,5029,2700.0,248.0,7
2017,99,3747,3100.0,415.0,1
2017,119,1204,2400.0,336.0,8
2017,99,2813,3450.0,460.0,1
2017,99,2814,3650.0,486.0,1
1985,162,571,,-1.0,9
2017,99,2816,3650.0,486.0,1
2017,99,2418,2850.0,388.0,1
2017,99,2411,2500.0,345.0,1
2017,93,3426,1700.0,286.0,2
2017,93,3426,2100.0,360.0,2
2017,80,3666,2950.0,399.0,1
2017,80,3665,2950.0,410.0,1
1987,65,4793,3550.0,-1.0,2
2017,87,4977,2950.0,502.0,2
2017,80,3668,2050.0,341.0,2
2017,21,5332,2350.0,199.0,7
2017,29,1294,4100.0,560.0,1
1987,65,4793,3800.0,-1.0,2
2017,129,4211,1750.0,298.0,2
2017,129,4211,2350.0,318.0,1
2017,55,2143,2550.0,423.0,2
2017,55,2150,2800.0,467.0,2
2017,99,3340,2700.0,364.0,1
2017,99,3348,1700.0,281.0,2
2017,124,3442,2850.0,388.0,1
2017,113,104,1700.0,284.0,2
2017,113,104,1850.0,312.0,2
2017,113,104,1700.0,284.0,2
2017,113,107,1750.0,291.0,2
2017,42,1416,2300.0,389.0,2
2017,42,1419,3650.0,486.0,1
2017,129,2722,2250.0,307.0,1
2017,178,2643,1700.0,282.0,2
2017,119,3146,2950.0,413.0,1
2017,99,2619,3100.0,415.0,1
2017,99,2613,2500.0,345.0,1
2017,55,1920,2200.0,370.0,2
2017,80,3650,3450.0,464.0,1
2017,80,3652,2200.0,296.0,1
2017,80,3650,3100.0,433.0,1
2017,65,1311,2400.0,408.0,2
2017,101,3056,2650.0,444.0,2
