date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2017-01-01,7.2225,-0.7275,4.268333,0.1,0.1,0.0,23.113008,37.8
2017-01-02,3.9724998,-1.0775,1.7329167,5.8000007,5.8000007,0.0,20.620804,34.2
2017-01-03,6.0225,3.3725,4.5412498,7.0,7.0,0.0,28.257132,46.8
2017-01-04,9.5225,1.5725,5.8079166,0.8,0.8,0.0,32.431984,62.279995
2017-01-05,0.6225,-4.1775002,-1.5233334,0.0,0.0,0.0,26.795223,46.8
2017-01-06,0.5725,-4.0775,-1.60875,1.8000001,0.0,1.2600001,15.379206,30.960001
2017-01-07,-4.5275,-6.6275,-5.400417,7.2,0.0,5.0400004,24.36325,42.12
2017-01-08,-5.5275,-11.5275,-8.804584,0.1,0.0,0.07,25.759504,43.92
2017-01-09,-6.9775,-16.2275,-10.729583,0.0,0.0,0.0,14.587776,24.48
2017-01-10,3.2725,-12.9775,-4.175416,0.4,0.4,0.0,21.38897,55.8
2017-01-11,10.1725,3.2725,5.8620834,4.7999997,4.7999997,0.0,30.563978,63.72
2017-01-12,15.822499,6.1725,11.7725,7.6,7.6,0.0,29.68636,57.96
2017-01-13,14.8225,-0.2275,6.4475,0.0,0.0,0.0,27.579382,47.88
2017-01-14,-0.1275,-4.0275,-1.4670835,1.0000001,0.1,0.63,13.783817,25.199999
2017-01-15,4.0725,-3.0275,-0.32124996,0.0,0.0,0.0,14.386494,27.72
2017-01-16,4.8225,-4.9775,-0.6420832,0.0,0.0,0.0,12.979984,23.4
2017-01-17,4.8225,1.3725001,3.0829172,5.7,5.7,0.0,14.291592,35.64
2017-01-18,4.1725,2.8725,3.5975006,0.5,0.5,0.0,15.778516,27.359999
2017-01-19,9.7225,1.7225001,4.620417,0.0,0.0,0.0,14.05845,27.359999
2017-01-20,6.4725,0.3225,3.7641666,3.1,3.1,0.0,10.495713,21.599998
2017-01-21,11.4725,4.3725,6.505833,0.1,0.1,0.0,12.984975,23.759998
2017-01-22,8.6725,4.8225,6.5870833,0.3,0.3,0.0,27.86921,45.36
2017-01-23,5.7725,1.5725,3.4516675,14.2,14.2,0.0,40.826286,82.439995
2017-01-24,3.5225,1.4725001,2.4683335,34.100002,34.100002,0.0,42.91254,74.88
2017-01-25,10.5725,0.3725,4.607917,0.7,0.7,0.0,28.394392,48.239998
2017-01-26,10.2725,4.2225,6.443333,1.6,1.6,0.0,30.248568,54.36
2017-01-27,6.3225,1.3725001,3.9120836,0.1,0.1,0.0,30.500309,52.92
2017-01-28,3.9225001,-1.5274999,1.3266667,0.0,0.0,0.0,28.835976,51.48
2017-01-29,6.1725,-0.8775,1.7558331,0.0,0.0,0.0,24.29133,43.199997
2017-01-30,2.8225,-3.2775,-0.4837501,0.0,0.0,0.0,24.014996,43.56
2017-01-31,0.5725,-5.1775,-2.412917,1.2,0.0,0.84,18.792551,48.239998
2017-02-01,8.2225,-2.8775,3.3204172,0.0,0.0,0.0,28.623962,51.48
2017-02-02,6.2225,-2.5275,1.3829165,0.0,0.0,0.0,27.155552,49.32
2017-02-03,1.2225001,-5.7775,-1.9795834,0.0,0.0,0.0,18.440998,31.319998
2017-02-04,1.0725,-6.1775,-2.9670837,0.0,0.0,0.0,24.951921,41.760002
2017-02-05,6.5225,-2.8274999,1.1870832,0.1,0.1,0.0,20.456745,55.079998
2017-02-06,8.0725,-1.6274999,2.8141668,0.0,0.0,0.0,16.179985,31.319998
2017-02-07,4.6725,0.12249999,2.7537498,4.2,4.2,0.0,17.49615,30.599998
2017-02-08,15.1225,3.2725,9.449584,0.7,0.7,0.0,22.039528,37.079998
2017-02-09,4.1725,-8.0775,-2.7066667,23.499998,0.20000002,16.309998,36.551968,64.439995
2017-02-10,-2.2775,-10.4775,-6.2066665,0.2,0.0,0.14,22.725668,46.079998
2017-02-11,4.7725,-3.0774999,0.45583332,0.8,0.0,0.56,12.24,17.28
2017-02-12,2.2225,-1.5274999,-0.023333274,10.6,8.700001,1.33,19.66536,36.36
2017-02-13,2.2725,-2.2275,0.5829167,0.0,0.0,0.0,36.918873,64.799995
2017-02-14,3.5725,-4.9275,-1.0337502,0.0,0.0,0.0,22.366402,39.239998
2017-02-15,7.4225,-2.1775,1.6225001,0.5,0.5,0.0,25.338476,45.36
2017-02-16,1.8725,-3.1775,-0.67333335,0.0,0.0,0.0,34.01762,59.399998
2017-02-17,5.2725,-3.9775,-0.22125004,0.0,0.0,0.0,22.59699,42.839996
2017-02-18,15.2725,-3.0774999,5.4975,0.0,0.0,0.0,21.028437,37.079998
2017-02-19,18.5225,6.4725,11.307916,0.0,0.0,0.0,18.39878,31.68
2017-02-20,10.8225,2.6225,6.6704164,0.0,0.0,0.0,22.26477,39.239998
2017-02-21,6.4225,-2.3274999,2.46,0.0,0.0,0.0,19.803272,36.36
2017-02-22,12.5225,2.3725,6.599584,0.2,0.2,0.0,13.32,25.919998
2017-02-23,17.822498,3.2225,9.0225,0.0,0.0,0.0,19.969458,35.28
2017-02-24,19.322498,9.7225,13.5225,0.9,0.9,0.0,24.482647,40.68
2017-02-25,13.9225,8.3725,11.618332,9.5,9.5,0.0,27.66384,49.32
2017-02-26,7.0225,0.6225,3.8454163,0.0,0.0,0.0,28.03612,47.519997
2017-02-27,11.7225,-0.9775,4.59125,0.0,0.0,0.0,22.183128,40.32
2017-02-28,14.5725,2.6225,7.924584,0.70000005,0.70000005,0.0,16.92383,31.68
2017-03-01,21.7225,9.4725,14.626668,4.5,4.5,0.0,42.438793,71.64
2017-03-02,15.8725,2.1725001,8.112084,0.0,0.0,0.0,43.32731,75.6
2017-03-03,3.7225,-3.7275,0.23708332,0.3,0.3,0.0,27.595825,55.44
2017-03-04,-0.6275,-7.9775,-4.4129167,0.0,0.0,0.0,38.988182,70.56
2017-03-05,2.4725,-9.8775,-5.0379167,0.0,0.0,0.0,25.772078,46.44
2017-03-06,3.9724998,-5.8275,-0.6212502,0.0,0.0,0.0,17.076298,31.68
2017-03-07,11.6225,3.0225,7.2308335,6.7,6.7,0.0,22.238562,35.64
2017-03-08,14.5725,7.2225,11.174583,0.8,0.8,0.0,29.308508,57.6
2017-03-09,13.8725,8.0225,10.818333,0.0,0.0,0.0,32.023815,57.239998
2017-03-10,7.2225,-3.4775,1.9683334,8.400001,0.19999996,5.7400002,28.90107,47.519997
2017-03-11,-0.7275,-8.2775,-5.0025,0.0,0.0,0.0,34.322937,60.120003
2017-03-12,0.42249995,-7.4775,-4.2191663,0.0,0.0,0.0,28.533264,50.039997
2017-03-13,0.072500005,-7.3275,-3.5754163,0.1,0.0,0.07,15.683774,29.519999
2017-03-14,-0.027500004,-5.7275,-1.9004165,46.7,2.7000012,30.800001,49.764706,95.399994
2017-03-15,-3.5774999,-8.2775,-5.6254163,0.6,0.0,0.42,34.47176,56.519997
2017-03-16,1.4225,-7.4775,-3.38375,0.0,0.0,0.0,24.144167,41.039997
2017-03-17,4.0225,-6.7275,-1.6004167,0.0,0.0,0.0,18.175545,30.960001
2017-03-18,2.2725,-7.6275,-0.9191666,2.5,2.3,0.14,22.26477,36.719997
2017-03-19,5.0725,-1.3774999,1.3683333,0.0,0.0,0.0,21.915691,37.079998
2017-03-20,10.5225,-4.0775,2.6933334,0.0,0.0,0.0,18.079027,33.12
2017-03-21,13.8225,1.7725,7.3745837,0.0,0.0,0.0,18.1041,28.8
2017-03-22,4.2225,-4.8775,0.03916655,0.0,0.0,0.0,39.87071,72.36
2017-03-23,5.5725,-6.9275,-1.2608336,0.0,0.0,0.0,22.183128,38.519997
2017-03-24,12.1725,-2.2775,4.882917,0.0,0.0,0.0,25.006397,45.719997
2017-03-25,15.6225,4.8725,9.0599985,1.8,1.8,0.0,26.82906,54.36
2017-03-26,6.4725,2.3725,4.3537498,0.3,0.3,0.0,22.35481,39.239998
2017-03-27,12.2225,3.9225001,6.991249,9.5,9.5,0.0,13.202726,32.760002
2017-03-28,9.2725,4.3725,6.7787495,12.300001,12.300001,0.0,16.075521,29.16
2017-03-29,14.4225,3.9724998,8.757916,0.2,0.2,0.0,23.090569,42.12
2017-03-30,9.8725,-0.0775,4.870416,0.1,0.1,0.0,17.64,30.960001
2017-03-31,5.3725,2.8225,4.15375,27.099998,27.099998,0.0,34.936695,58.679996
2017-04-01,8.5225,2.7225,5.1558332,1.1,1.1,0.0,33.004364,55.079998
2017-04-02,15.3225,1.7725,8.401668,0.0,0.0,0.0,25.305208,45.0
2017-04-03,14.9225,1.8725,8.67875,0.0,0.0,0.0,21.142147,38.16
2017-04-04,12.1725,7.2225,9.618333,17.900002,17.900002,0.0,28.757215,66.96
2017-04-05,16.7725,6.3225,9.972501,0.0,0.0,0.0,19.272614,34.56
2017-04-06,13.8725,4.2225,7.4933333,25.4,25.4,0.0,39.751892,79.2
2017-04-07,9.6225,4.0225,7.2620845,0.8,0.8,0.0,30.21642,51.48
2017-04-08,12.9725,2.4725,6.9870834,0.0,0.0,0.0,27.908709,49.68
2017-04-09,17.2725,1.7725,9.472501,0.0,0.0,0.0,16.75064,32.399998
2017-04-10,21.322498,5.7225,14.145415,0.0,0.0,0.0,18.837322,32.399998
2017-04-11,23.572498,11.7225,17.145412,0.0,0.0,0.0,17.377226,33.12
2017-04-12,22.422499,10.6725,16.568333,0.4,0.4,0.0,17.208603,31.68
2017-04-13,16.9725,6.6225,11.699582,0.0,0.0,0.0,25.346148,43.92
2017-04-14,15.7225,5.0725,10.085,0.0,0.0,0.0,18.584509,38.16
2017-04-15,14.5225,5.3225,11.051666,0.6,0.6,0.0,23.132626,41.760002
2017-04-16,27.6225,13.4725,19.987083,0.5,0.5,0.0,29.337238,53.639996
2017-04-17,21.322498,13.5225,17.962082,0.1,0.1,0.0,23.770906,41.399998
2017-04-18,16.922499,7.5725,11.285,0.0,0.0,0.0,26.302181,47.88
2017-04-19,9.4725,6.3725,8.182917,1.2,1.2,0.0,26.474077,46.8
2017-04-20,18.2225,9.0225,12.443334,2.4,2.4,0.0,18.335276,30.239998
2017-04-21,13.5725,8.8725,10.62875,6.1,6.1,0.0,16.520823,30.960001
2017-04-22,12.7225,9.1725,10.82875,3.1000001,3.1000001,0.0,19.386591,31.319998
2017-04-23,16.7225,5.8225,10.570416,0.0,0.0,0.0,16.24394,31.68
2017-04-24,12.6725,7.2725,10.32875,0.3,0.3,0.0,11.966953,21.24
